,BusinessPersonName,DetailsLinks
424,Sheetal Agashe,https://en.wikipedia.org//wiki/Sheetal_Agashe
425,Prem Akkaraju,https://en.wikipedia.org//wiki/Prem_Akkaraju
426,Vikram Akula,https://en.wikipedia.org//wiki/Vikram_Akula
427,Tina Ambani,https://en.wikipedia.org//wiki/Tina_Ambani
430,Kavita K. Barjatya,https://en.wikipedia.org//wiki/Kavita_K._Barjatya
431,Mukta Barve,https://en.wikipedia.org//wiki/Mukta_Barve
432,Ritu Beri,https://en.wikipedia.org//wiki/Ritu_Beri
436,Hridayeshwar Singh Bhati,https://en.wikipedia.org//wiki/Hridayeshwar_Singh_Bhati
450,Jyoti Deshpande,https://en.wikipedia.org//wiki/Jyoti_Deshpande
452,Dega Deva Kumar Reddy,https://en.wikipedia.org//wiki/Dega_Deva_Kumar_Reddy
453,Kanika Dewan,https://en.wikipedia.org//wiki/Kanika_Dewan
456,Priyanka Dutt,https://en.wikipedia.org//wiki/Priyanka_Dutt
457,Krishna Ella,https://en.wikipedia.org//wiki/Krishna_Ella
460,S. George,https://en.wikipedia.org//wiki/S._George
461,Manjula Ghattamaneni,https://en.wikipedia.org//wiki/Manjula_Ghattamaneni
462,Sumita Ghosh,https://en.wikipedia.org//wiki/Sumita_Ghosh
464,Namita Gokhale,https://en.wikipedia.org//wiki/Namita_Gokhale
465,Divya Gokulnath,https://en.wikipedia.org//wiki/Divya_Gokulnath
467,Suhas Gopinath,https://en.wikipedia.org//wiki/Suhas_Gopinath
469,Anita Gupta,https://en.wikipedia.org//wiki/Anita_Gupta
470,Lalita D. Gupte,https://en.wikipedia.org//wiki/Lalita_D._Gupte
471,Dheeraj Hinduja,https://en.wikipedia.org//wiki/Dheeraj_Hinduja
472,Gopichand Hinduja,https://en.wikipedia.org//wiki/Gopichand_Hinduja
473,Prakash Hinduja,https://en.wikipedia.org//wiki/Prakash_Hinduja
475,Zuboni Hümtsoe,https://en.wikipedia.org//wiki/Zuboni_H%C3%BCmtsoe
